category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Alcoholic beverages,Wine,2006-10-01,28271.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2015-12-01,28440.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2015-08-01,28096.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2015-11-01,28095.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1989-12-01,28230.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1989-11-01,28073.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1989-09-01,27882.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2014-12-01,27294.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2014-10-01,27197.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2014-06-01,27003.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1988-12-01,27062.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1988-08-01,26950.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1988-05-01,26927.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1987-12-01,26436.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1987-11-01,26323.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1987-10-01,26320.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1986-10-01,26331.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1986-06-01,26317.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1986-07-01,26302.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2005-12-01,26928.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2005-11-01,26760.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2005-10-01,26612.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2013-12-01,26188.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2013-11-01,26079.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2013-09-01,25974.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2012-12-01,25500.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2012-05-01,25390.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2012-11-01,25293.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1985-12-01,25783.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1985-09-01,25704.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1985-11-01,25426.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2004-10-01,25145.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2004-11-01,25142.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2004-12-01,25118.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2011-11-01,24660.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2011-10-01,24511.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2011-09-01,24479.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2010-10-01,24195.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2010-11-01,24125.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2010-08-01,24101.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2003-12-01,23887.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2003-10-01,23752.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2003-11-01,23668.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2008-07-01,23541.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2008-08-01,23401.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2008-06-01,23400.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1984-12-01,23685.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1984-11-01,23614.0,2024-08-13 09:31:54
