category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Bakery products,1996-10-01,39967.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1995-12-01,38168.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1995-11-01,37642.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1995-10-01,37511.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2007-12-01,38339.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2007-11-01,38034.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2007-10-01,37638.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1994-12-01,36718.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1994-11-01,36562.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1994-10-01,36488.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2006-12-01,36081.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2006-10-01,35708.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2006-11-01,35604.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1993-12-01,34776.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1993-11-01,34566.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1993-10-01,34348.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1992-12-01,33247.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1992-10-01,33160.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1992-11-01,33133.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2005-12-01,33508.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2005-11-01,33429.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2005-10-01,33294.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1991-05-01,32942.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1991-06-01,32751.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1991-07-01,32670.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1990-09-01,32093.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1990-11-01,31967.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1990-08-01,31724.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2004-12-01,31285.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2004-11-01,31106.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2004-10-01,30864.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1989-12-01,30531.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1989-11-01,30123.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1989-09-01,29907.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2003-11-01,29491.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2003-12-01,29469.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2003-08-01,29372.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1988-11-01,28422.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1988-12-01,28314.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1988-10-01,28227.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2001-05-01,27439.0,2024-08-13 09:31:54
