category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Cereals and bakery products,Bakery products,2006-10-01,71140,2024/08/13 09:31:54,842445
Cereals and bakery products,Bakery products,2006-11-01,70644,2024/08/13 09:31:54,842445
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2011-11-01,70343,2024/08/13 09:31:54,838138
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2011-10-01,70222,2024/08/13 09:31:54,838138
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2011-08-01,70095,2024/08/13 09:31:54,838138
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2013-12-01,70409,2024/08/13 09:31:54,838042
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2013-02-01,70393,2024/08/13 09:31:54,838042
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2013-01-01,70324,2024/08/13 09:31:54,838042
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2009-01-01,70836,2024/08/13 09:31:54,834075
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2009-02-01,70507,2024/08/13 09:31:54,834075
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2009-03-01,69861,2024/08/13 09:31:54,834075
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2010-02-01,69820,2024/08/13 09:31:54,826895
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2010-04-01,69245,2024/08/13 09:31:54,826895
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2010-03-01,69240,2024/08/13 09:31:54,826895
Cereals and bakery products,Bakery products,2005-12-01,69696,2024/08/13 09:31:54,813572
Cereals and bakery products,Bakery products,2005-10-01,69013,2024/08/13 09:31:54,813572
Cereals and bakery products,Bakery products,2005-11-01,68912,2024/08/13 09:31:54,813572
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2006-12-01,69279,2024/08/13 09:31:54,808292
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2006-11-01,68541,2024/08/13 09:31:54,808292
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2006-10-01,68346,2024/08/13 09:31:54,808292
Alcoholic beverages,Beer,2019-08-01,67590,2024/08/13 09:31:54,801004
Alcoholic beverages,Beer,2019-11-01,67437,2024/08/13 09:31:54,801004
Alcoholic beverages,Beer,2019-07-01,67434,2024/08/13 09:31:54,801004
Alcoholic beverages,Beer,2018-11-01,65969,2024/08/13 09:31:54,780609
Alcoholic beverages,Beer,2018-10-01,65533,2024/08/13 09:31:54,780609
Alcoholic beverages,Beer,2018-09-01,65301,2024/08/13 09:31:54,780609
Cereals and bakery products,Bakery products,2004-12-01,66611,2024/08/13 09:31:54,780338
Cereals and bakery products,Bakery products,2004-11-01,65823,2024/08/13 09:31:54,780338
Cereals and bakery products,Bakery products,2004-09-01,65411,2024/08/13 09:31:54,780338
Cereals and bakery products,Bakery products,2003-08-01,64482,2024/08/13 09:31:54,767396
Cereals and bakery products,Bakery products,2003-07-01,64230,2024/08/13 09:31:54,767396
Cereals and bakery products,Bakery products,2003-12-01,64043,2024/08/13 09:31:54,767396
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2005-12-01,65493,2024/08/13 09:31:54,761731
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2005-11-01,64933,2024/08/13 09:31:54,761731
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2005-10-01,64905,2024/08/13 09:31:54,761731
Meats and poultry,Poultry,2020-03-01,72103,2024/08/13 09:31:54,760509
Meats and poultry,Poultry,2020-05-01,64954,2024/08/13 09:31:54,760509
Meats and poultry,Poultry,2020-07-01,64381,2024/08/13 09:31:54,760509
Alcoholic beverages,Beer,2017-12-01,63925,2024/08/13 09:31:54,748873
Alcoholic beverages,Beer,2017-11-01,63654,2024/08/13 09:31:54,748873
Alcoholic beverages,Beer,2017-10-01,63504,2024/08/13 09:31:54,748873
Cereals and bakery products,Bakery products,2002-11-01,63517,2024/08/13 09:31:54,746926
Cereals and bakery products,Bakery products,2002-12-01,63308,2024/08/13 09:31:54,746926
Cereals and bakery products,Bakery products,2002-10-01,62882,2024/08/13 09:31:54,746926
Alcoholic beverages,Beer,2016-11-01,61175,2024/08/13 09:31:54,723316
Alcoholic beverages,Beer,2016-09-01,61071,2024/08/13 09:31:54,723316
Alcoholic beverages,Beer,2016-10-01,60986,2024/08/13 09:31:54,723316
Cereals and bakery products,Cereals,2020-03-01,68607,2024/08/13 09:31:54,719370
Cereals and bakery products,Cereals,2020-05-01,61181,2024/08/13 09:31:54,719370
Cereals and bakery products,Cereals,2020-07-01,60868,2024/08/13 09:31:54,719370
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2004-12-01,61201,2024/08/13 09:31:54,713623
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2004-11-01,60833,2024/08/13 09:31:54,713623
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2004-10-01,60490,2024/08/13 09:31:54,713623
Cereals and bakery products,Bakery products,2001-12-01,60940,2024/08/13 09:31:54,701886
Cereals and bakery products,Bakery products,2001-11-01,60156,2024/08/13 09:31:54,701886
Cereals and bakery products,Bakery products,2001-10-01,60016,2024/08/13 09:31:54,701886
Alcoholic beverages,Beer,2015-12-01,58997,2024/08/13 09:31:54,695558
Alcoholic beverages,Beer,2015-11-01,58511,2024/08/13 09:31:54,695558
Alcoholic beverages,Beer,2015-09-01,58449,2024/08/13 09:31:54,695558
Meats and poultry,Poultry,2019-07-01,58633,2024/08/13 09:31:54,694047
Meats and poultry,Poultry,2019-08-01,58607,2024/08/13 09:31:54,694047
Meats and poultry,Poultry,2019-11-01,58469,2024/08/13 09:31:54,694047
"Milk, dairy products, and eggs",Processed dairy products,2020-03-01,64329,2024/08/13 09:31:54,679741
"Milk, dairy products, and eggs",Processed dairy products,2020-07-01,57490,2024/08/13 09:31:54,679741
"Milk, dairy products, and eggs",Processed dairy products,2020-05-01,57426,2024/08/13 09:31:54,679741
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2003-12-01,58042,2024/08/13 09:31:54,676744
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2003-11-01,57991,2024/08/13 09:31:54,676744
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2003-09-01,57766,2024/08/13 09:31:54,676744
Meats and poultry,Poultry,2018-11-01,56963,2024/08/13 09:31:54,674285
Meats and poultry,Poultry,2018-10-01,56596,2024/08/13 09:31:54,674285
Meats and poultry,Poultry,2018-08-01,56430,2024/08/13 09:31:54,674285
Alcoholic beverages,Beer,2014-12-01,56845,2024/08/13 09:31:54,667985
Alcoholic beverages,Beer,2014-10-01,56636,2024/08/13 09:31:54,667985
Alcoholic beverages,Beer,2014-11-01,56462,2024/08/13 09:31:54,667985
Fresh fruits and vegetables,Vegetables (fresh),2020-03-01,63166,2024/08/13 09:31:54,667831
Fresh fruits and vegetables,Vegetables (fresh),2020-05-01,56765,2024/08/13 09:31:54,667831
Fresh fruits and vegetables,Vegetables (fresh),2020-07-01,56595,2024/08/13 09:31:54,667831
Cereals and bakery products,Cereals,2019-08-01,55727,2024/08/13 09:31:54,659339
Cereals and bakery products,Cereals,2019-07-01,55679,2024/08/13 09:31:54,659339
Cereals and bakery products,Cereals,2019-11-01,55463,2024/08/13 09:31:54,659339
Meats and poultry,Poultry,2017-12-01,56009,2024/08/13 09:31:54,654207
Meats and poultry,Poultry,2017-11-01,55313,2024/08/13 09:31:54,654207
Meats and poultry,Poultry,2017-10-01,55137,2024/08/13 09:31:54,654207
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2002-11-01,54332,2024/08/13 09:31:54,643439
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2002-12-01,54206,2024/08/13 09:31:54,643439
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2002-10-01,53770,2024/08/13 09:31:54,643439
Cereals and bakery products,Bakery products,2000-12-01,56206,2024/08/13 09:31:54,642703
Cereals and bakery products,Bakery products,2000-11-01,55328,2024/08/13 09:31:54,642703
Cereals and bakery products,Bakery products,2000-10-01,55228,2024/08/13 09:31:54,642703
Meats and poultry,Beef and veal,2020-03-01,60917,2024/08/13 09:31:54,642529
Meats and poultry,Beef and veal,2020-05-01,54877,2024/08/13 09:31:54,642529
Meats and poultry,Beef and veal,2020-07-01,54393,2024/08/13 09:31:54,642529
Alcoholic beverages,Beer,2013-12-01,54457,2024/08/13 09:31:54,641150
Alcoholic beverages,Beer,2013-11-01,54095,2024/08/13 09:31:54,641150
Alcoholic beverages,Beer,2013-09-01,53769,2024/08/13 09:31:54,641150
Alcoholic beverages,Beer,2012-05-01,53943,2024/08/13 09:31:54,641114
Alcoholic beverages,Beer,2012-06-01,53810,2024/08/13 09:31:54,641114
Alcoholic beverages,Beer,2012-04-01,53761,2024/08/13 09:31:54,641114
Meats and poultry,Poultry,2015-02-01,53853,2024/08/13 09:31:54,640316
Meats and poultry,Poultry,2015-01-01,53733,2024/08/13 09:31:54,640316
Meats and poultry,Poultry,2015-04-01,53532,2024/08/13 09:31:54,640316
Cereals and bakery products,Cereals,2018-11-01,54103,2024/08/13 09:31:54,640198
Cereals and bakery products,Cereals,2018-10-01,53794,2024/08/13 09:31:54,640198
Cereals and bakery products,Cereals,2018-08-01,53606,2024/08/13 09:31:54,640198
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2001-12-01,53755,2024/08/13 09:31:54,637224
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2001-10-01,53551,2024/08/13 09:31:54,637224
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2001-09-01,53503,2024/08/13 09:31:54,637224
Meats and poultry,Poultry,2016-12-01,53320,2024/08/13 09:31:54,635952
Meats and poultry,Poultry,2016-02-01,53237,2024/08/13 09:31:54,635952
Meats and poultry,Poultry,2016-10-01,53192,2024/08/13 09:31:54,635952
Alcoholic beverages,Wine,2020-03-01,56343,2024/08/13 09:31:54,633007
Alcoholic beverages,Wine,2020-08-01,54416,2024/08/13 09:31:54,633007
Alcoholic beverages,Wine,2020-09-01,54261,2024/08/13 09:31:54,633007
Meats and poultry,Poultry,2014-12-01,53580,2024/08/13 09:31:54,632322
Meats and poultry,Poultry,2014-11-01,53526,2024/08/13 09:31:54,632322
Meats and poultry,Poultry,2014-10-01,53461,2024/08/13 09:31:54,632322
Alcoholic beverages,Beer,2011-11-01,52696,2024/08/13 09:31:54,625126
Alcoholic beverages,Beer,2011-10-01,52471,2024/08/13 09:31:54,625126
Alcoholic beverages,Beer,2011-09-01,52374,2024/08/13 09:31:54,625126
"Milk, dairy products, and eggs",Processed dairy products,2019-08-01,52626,2024/08/13 09:31:54,622833
"Milk, dairy products, and eggs",Processed dairy products,2019-07-01,52559,2024/08/13 09:31:54,622833
"Milk, dairy products, and eggs",Processed dairy products,2019-11-01,52389,2024/08/13 09:31:54,622833
Cereals and bakery products,Cereals,2017-12-01,53178,2024/08/13 09:31:54,622316
Cereals and bakery products,Cereals,2017-11-01,52507,2024/08/13 09:31:54,622316
Cereals and bakery products,Cereals,2017-10-01,52368,2024/08/13 09:31:54,622316
Sugar and sweets,Sugar and sweets,2020-03-01,58016,2024/08/13 09:31:54,619478
Sugar and sweets,Sugar and sweets,2020-11-01,52330,2024/08/13 09:31:54,619478
Sugar and sweets,Sugar and sweets,2020-09-01,52085,2024/08/13 09:31:54,619478
Alcoholic beverages,Beer,2010-11-01,51945,2024/08/13 09:31:54,618474
Alcoholic beverages,Beer,2010-10-01,51881,2024/08/13 09:31:54,618474
Alcoholic beverages,Beer,2010-08-01,51849,2024/08/13 09:31:54,618474
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2000-12-01,52610,2024/08/13 09:31:54,616316
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2000-10-01,52132,2024/08/13 09:31:54,616316
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",2000-11-01,52005,2024/08/13 09:31:54,616316
Cereals and bakery products,Cereals,2016-12-01,50844,2024/08/13 09:31:54,606300
Cereals and bakery products,Cereals,2016-10-01,50824,2024/08/13 09:31:54,606300
Cereals and bakery products,Cereals,2016-06-01,50776,2024/08/13 09:31:54,606300
Fresh fruits and vegetables,Vegetables (fresh),2019-08-01,51130,2024/08/13 09:31:54,605253
Fresh fruits and vegetables,Vegetables (fresh),2019-07-01,51095,2024/08/13 09:31:54,605253
Fresh fruits and vegetables,Vegetables (fresh),2019-11-01,50919,2024/08/13 09:31:54,605253
"Milk, dairy products, and eggs",Processed dairy products,2018-11-01,51150,2024/08/13 09:31:54,604346
"Milk, dairy products, and eggs",Processed dairy products,2018-10-01,50823,2024/08/13 09:31:54,604346
"Milk, dairy products, and eggs",Processed dairy products,2018-08-01,50665,2024/08/13 09:31:54,604346
Alcoholic beverages,Beer,2007-06-01,50377,2024/08/13 09:31:54,598459
Alcoholic beverages,Beer,2007-12-01,50329,2024/08/13 09:31:54,598459
Alcoholic beverages,Beer,2007-07-01,50310,2024/08/13 09:31:54,598459
Cereals and bakery products,Cereals,2015-12-01,50058,2024/08/13 09:31:54,597422
Cereals and bakery products,Cereals,2015-11-01,50050,2024/08/13 09:31:54,597422
Cereals and bakery products,Cereals,2015-09-01,49996,2024/08/13 09:31:54,597422
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1999-12-01,52141,2024/08/13 09:31:54,596296
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1999-09-01,50227,2024/08/13 09:31:54,596296
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1999-11-01,50193,2024/08/13 09:31:54,596296
